survey,study_group,dietitian_id,user_id,dietitian_participated_in_both_sessions,patient_label,session_index,recommendation_session_id,patient_note,personal_note,num_recommendations,recommendation_index,variant,mode,nutrient,category,text,basket_ids,bad_products,suggestions,notes,Survey ID,Start time,Completion time,Alter,Geschlecht,Arbeitserfahrung als ErnährungsberaterIn (in Jahren),"Ich verwende häufig Software Applikationen (z.B. Nährwertdatenbanken, Ernährungs-Apps, usw.)  in meinem Arbeitsalltag.",Ich halte die DietCoach-Plattform für nützlich.,"Die Nutzung der DietCoach-Plattform ermöglicht es mir, Aufgaben schneller zu erledigen.",Die Nutzung der DietCoach-Plattform steigert meine Produktivität.,Das Erlernen der Nutzung der DietCoach-Plattform fällt mir leicht.,Interaktion mit der DietCoach-Plattform ist klar und verständlich.,Ich finde die DietCoach-Plattform einfach zu nutzen.,"Es fällt mir leicht, die DietCoach-Plattform geschickt zu nutzen.","Ich verfüge über die notwendigen Ressourcen, um die DietCoach-Plattform zu nutzen.",Ich verfüge über die erforderlichen Kenntnisse zur Nutzung der DietCoach-Plattform.,Die DietCoach-Plattform ist mit anderen von mir verwendeten Technologien kompatibel.,"Ich beabsichtige, die DietCoach-Plattform auch in Zukunft zu nutzen, sofern sie verfügbar ist.","Ich werde versuchen, die DietCoach-Plattform bei meiner Arbeit zu nutzen, sofern sie verfügbar ist.","Ich habe vor, die DietCoach-Plattform weiterhin häufig zu nutzen, sofern sie verfügbar ist.",DietCoach zu nutzen macht Spaß,DietCoach zu nutzen ist angenehm,DietCoach zu nutzen ist sehr unterhaltsam,"Ich denke, dass ich die DietCoach-Plattform häufig nutzen möchte.",Ich finde die DietCoach-Plattform unnötig komplex.,Ich finde die DietCoach-Plattform einfach zu bedienen.,"Ich glaube, dass ich die Unterstützung einer technischen Person benötige, um die DietCoach-Plattform nutzen zu können.","Ich finde, dass die verschiedenen Funktionen der DietCoach-Plattform gut integriert waren.","Ich finde, dass die DietCoach-Plattform zu inkonsistent war.","Ich könnte mir vorstellen, dass die meisten Ernährungsberater die DietCoach-Plattform sehr schnell erlernen würden.",Ich finde die DietCoach-Plattform sehr umständlich zu bedienen.,Ich fühlte mich bei der Nutzung der DietCoach-Plattform sehr sicher.,"Ich musste viele Dinge lernen, bevor ich mit der DietCoach-Plattform loslegen konnte.",Die DietCoach-Plattform verbessert mein Verständnis für die Lebensmittelauswahl der Patienten.,Die Bereitstellung von Ernährungsempfehlungen unter Einbezug der tatsächlichen Lebensmittel-Einkaufsdaten der Patienten würde die Qualität der Ernährungsversorgung verbessern.,"Patienten würden mit einer Ernährungsberatung, die auf ihrem tatsächlichen Kaufverhalten basiert, bessere Gesundheitsergebnisse erzielen.","Welcher Prozentsatz Ihrer Patienten könnte Ihrer Meinung nach davon profitieren, wenn Sie die DietCoach-Plattform nutzen?",Mehrpersonenhaushalt,Die Nutzung der Treuekarte wird vorausgesetzt,Es werden nur Einkäufe berücksichtigt,Nur Einkäufe bei Migros und Coop werden berücksichtigt,"Medizinische Diagnose des Patienten (z.B., Diabetes)","Demografie des Kunden (Geschlecht, Alter)","Gibt es noch andere Faktoren, die Ihre Einschätzung der Nützlichkeit von DietCoach beeinflussen?","Ich würde mich dafür einsetzen, dass das DietCoach-System von Versicherungen abgedeckt wird. ","Die DietCoach-Plattform ist wertvoll, im Vergleich zu anderen Tools oder Systemen, die ich in meinem Arbeitsablauf verwende.",Die DietCoach-Plattform könnte zu Kosteneinsparungen in der Patientenversorgung führen.,"Was halten Sie für einen fairen Preis, den potenzielle Zahler, z.B. Patienten oder deren Krankenversicherungen, für die DietCoach-Plattform zu zahlen bereit wären (pro Patient pro Monat in CHF)?",Wie würden Sie DietCoach in Ihrer Arbeit nutzen?,Wie würden Sie DietCoach sonst verbessern? ,Haben Sie weitere Bedenken oder Anmerkungen?
Follow-up Session,KS St. Gallen,100,1,True,IDEAL,2,155,,,1,1.0,VAR2,Reduzieren,,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]","[7613312420508,40045009,7616500673137,7616500906594,7616500151178,7616500130319,7610008715306]",[7617027796576],,24,2024-11-11 13:44:57,2024-11-11 13:52:13,32,Weiblich,3,4.0,5,5,5,6,6,6,5,6,6,4,5,5,5,5,5,5,4,1,5,1,4.0,1.0,5,1,4,1,4,4,4,41-60%,5,4,4,3,5,5,,3,4,3,100,In anbulanten Beratungen,besser gefilterte Suchfunktion,
Follow-up Session,KS St. Gallen,99,2,True,MEDIAN,2,158,,,1,1.0,VAR1,Reduzieren,Fette,"Fleisch, Fisch & Eier",,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7610200012913,7613269265597,7613312318782]",[],Weniger Wurstware und Fertiggerichte. ,25,2024-11-11 13:43:13,2024-11-11 13:53:24,29,Weiblich,29,2.0,4,2,2,4,4,4,3,4,3,4,3,3,3,4,4,4,2,3,3,3,3.0,3.0,3,4,2,3,3,3,3,0-20% ,4,4,4,4,4,4,,3,3,3,150,Ambulanten Setting,Eine Chatfunktion,Ich denke die Limitation sind noch sehr gross. 
Follow-up Session,KS St. Gallen,101,2,True,MEDIAN,2,160,,,1,1.0,VAR1,Erhöhen / Reduzieren,Fette,Fertiggerichte,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7613287015624,7613312287866,7640175280130,7613312312490,7613269724681]",[],diese Fertigprodukte enthalten viel Fett (schlechte Fette) alternativ könnten Saucen selbst gemacht werden mit Magerquark und Kräuter etc. ,26,2024-11-11 13:45:31,2024-11-11 13:54:41,29,Weiblich,1,2.0,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,3,2,4,2,4.0,3.0,4,2,4,2,4,4,4,21-40%,5,5,5,5,4,4,,3,3,3,20,bei Adipositas ggf. als Art Onlineberatung (wenn Pat 100 % bei Migros / Coop einkaufen),,
Follow-up Session,KS St. Gallen,104,2,True,MEDIAN,2,159,,,1,1.0,VAR1,Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7614800891008,7616700001419,7623186174384]","[350914,7617027742160]",Weniger süsse und/oder salzige Snacks - dafür mehr Früchte und Gemüse.,27,2024-11-11 13:47:24,2024-11-11 13:56:35,29,Weiblich,3,4.0,6,4,5,7,7,7,7,5,6,6,6,5,5,6,6,6,4,1,5,2,5.0,1.0,5,1,4,1,5,4,3,41-60%,4,4,4,4,4,4,-,4,4,4,15,"Interpretation der Einkäufe der Patienten, Einblick zur Lebensmittelauswahl gewinnen","Interaktiver, Notizen der Pat., FAQ, Vergleich zur Lebemsmittelpyramide, Möglichkeit zur Erstellung Ernährungsprotokolls und Vergleich mit Lebensmittelpyramide.",tolle Arbeit
Follow-up Session,KS St. Gallen,107,2,True,MEDIAN,2,156,,,2,1.0,FREITEXT,,,,Weiter mit den energiefreien Getränken!,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]",[],[],,28,2024-11-11 13:46:57,2024-11-11 13:56:38,31,Weiblich,7,,5,4,4,5,5,6,5,4,5,6,5,5,4,6,6,6,3,2,4,1,4.0,1.0,3,3,3,4,5,5,4,21-40%,4,5,5,5,5,4,neben der Empfehlung vielleicht auch eine Feedbackfunktion bei Fortschritt was gut umgesetzt wurde,5,4,5,5,in einer digitalen Beratung,Chatfunktion,"Produkte die man auswählen kann sehr speziell, lange Suche, dann wird man das System nicht nutzen"
Follow-up Session,KS St. Gallen,107,2,True,MEDIAN,2,156,,,2,2.0,VAR1,Reduzieren,Fette,Add-ons,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7613287015624,7613312287866,7640175280130,7613312312490,7613035367623]",[7613039325377],Fettzufuhr aus Saucen reduzieren ,28,2024-11-11 13:46:57,2024-11-11 13:56:38,31,Weiblich,7,,5,4,4,5,5,6,5,4,5,6,5,5,4,6,6,6,3,2,4,1,4.0,1.0,3,3,3,4,5,5,4,21-40%,4,5,5,5,5,4,neben der Empfehlung vielleicht auch eine Feedbackfunktion bei Fortschritt was gut umgesetzt wurde,5,4,5,5,in einer digitalen Beratung,Chatfunktion,"Produkte die man auswählen kann sehr speziell, lange Suche, dann wird man das System nicht nutzen"
Follow-up Session,KS St. Gallen,107,2,True,MEDIAN,2,156,,,2,3.0,VAR1,Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]",[],[],"Fettzufuhr aus Saucen reduzieren 

Snacks sollten max. 10 Energieprozent ausmachen, mehr Früchte",28,2024-11-11 13:46:57,2024-11-11 13:56:38,31,Weiblich,7,,5,4,4,5,5,6,5,4,5,6,5,5,4,6,6,6,3,2,4,1,4.0,1.0,3,3,3,4,5,5,4,21-40%,4,5,5,5,5,4,neben der Empfehlung vielleicht auch eine Feedbackfunktion bei Fortschritt was gut umgesetzt wurde,5,4,5,5,in einer digitalen Beratung,Chatfunktion,"Produkte die man auswählen kann sehr speziell, lange Suche, dann wird man das System nicht nutzen"
Follow-up Session,KS St. Gallen,102,3,True,MINIMUM,2,161,,,2,1.0,VAR1,Erhöhen / Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609""]",[7613269188698],[8712566246496],,29,2024-11-11 13:47:28,2024-11-11 13:59:35,43,Weiblich,4,4.0,5,3,4,5,6,6,5,5,5,4,6,6,6,5,5,6,4,2,4,2,4.0,3.0,5,2,4,2,4,4,4,21-40%,4,4,4,4,2,4,Einkommensklasse,4,3,3,25,"Bei Adipositas Patienten, Stoffwechselerkrankten, DM...","Chat Funktion, ",
Follow-up Session,KS St. Gallen,102,3,True,MINIMUM,2,161,,,2,2.0,VAR1,Erhöhen / Reduzieren,Fette,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609""]",[7613312295731],[7613312261446],"Wählen sie natürliche Produkte, welche nicht unnötig verarbeitet sind. Pro Tag wird 1 Portion sprich eine Hand voll ungesalzene Nüsse empfohlen.",29,2024-11-11 13:47:28,2024-11-11 13:59:35,43,Weiblich,4,4.0,5,3,4,5,6,6,5,5,5,4,6,6,6,5,5,6,4,2,4,2,4.0,3.0,5,2,4,2,4,4,4,21-40%,4,4,4,4,2,4,Einkommensklasse,4,3,3,25,"Bei Adipositas Patienten, Stoffwechselerkrankten, DM...","Chat Funktion, ",
Follow-up Session,FH Bern,111,3,True,MINIMUM,2,175,,,1,1.0,VAR1,Erhöhen,Menge,Gemüse,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7610095231604,7613269188698,7613312261668]","[7610632953129,7623186178368,7623186156250]",,30,2024-11-12 13:57:40,2024-11-12 14:02:48,22,Weiblich,0,3.0,6,4,4,7,7,7,7,5,6,6,5,5,5,7,5,7,3,2,4,2,4.0,2.0,4,1,4,2,3,4,4,41-60%,5,5,5,5,5,5,,2,3,3,3,Einkaufsgewohnheiten ansehen,"Pat. sollten rein schreiben können, ob dies eher ein gewöhnlicher Einkauf war oder für spezielle Anlässe.",
Follow-up Session,FH Bern,110,1,True,IDEAL,2,172,,,1,1.0,VAR1,Erhöhen / Reduzieren,Zucker,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]","[7613312331125,7616500670594]",[7613404573440],,31,2024-11-12 13:59:31,2024-11-12 14:04:49,24,Weiblich,1,2.0,2,2,2,5,5,5,5,5,5,5,2,2,2,3,3,3,2,2,4,2,4.0,2.0,3,3,3,3,4,2,3,0-20% ,5,2,5,5,2,4,Portionsgrösse und wie viel wurde in welche Zeutrahmen gegessen.,2,2,2,20,Im Moment würde ich es nicht nutzen.,"Berücksichtigung von Portionsgrößen, tatsächlich verzehrten Mengen und Verzehrszeiträumen",
Follow-up Session,FH Bern,115,3,True,MINIMUM,2,176,,,1,1.0,VAR1,Reduzieren,Fette,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]","[7610095231604,42280897,7610095123503,7613269188698,7613312261668,7616800817088,7623186209130,7613312295731]","[7617027742160,7610100507151,7613404573457,7613404024560]",,32,2024-11-12 14:00:08,2024-11-12 14:07:22,31,Männlich,0,3.0,6,5,4,6,6,6,4,6,6,4,7,6,6,7,6,6,4,1,4,1,4.0,3.0,4,1,4,1,4,4,4,41-60%,5,5,5,5,5,4,,4,3,3,25,Zum Erfassen der Ernährungsgewohnheiten der Patienten/innen ,,"Nicht klar ersichtlich, was in einem Mehrpersonen Haushalt von wem konsumiert wird. "
Follow-up Session,FH Bern,109,1,True,IDEAL,2,177,,,1,1.0,VAR1,Erhöhen / Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]","[7613269332688,7616700002201]",[7610200284426],,33,2024-11-12 13:57:58,2024-11-12 14:07:47,33,Weiblich,10,4.0,4,4,4,5,5,5,4,4,5,5,4,4,4,5,5,5,3,2,4,3,4.0,4.0,4,2,3,2,4,2,3,21-40%,4,4,4,2,4,4,,3,2,3,5,,,Ich sehe den Mehrwert noch nicht so ganz. Negativ: Häufigkeit der Einkaufe und Verteilung auf die Tage. Aufteilung auf die Personen im Haushalt. Das Teilen von Einkaufsdaten an Krankenkassen sehe ich kritisch.
Follow-up Session,FH Bern,113,3,True,MINIMUM,2,174,,,0,1.0,FREITEXT,,,,"Reduktion von Zucker durch Ersatz von nahrungsfaserreichen und proteinreichen Lebensmitteln (z.B. Milchprodukte wie ungesüsste Joghurt oder Käse, Getreideprodukte wie Blévita und Früchte)","[""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1497723679199228265"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1381824502112743785"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1941361517809340055"",""https://interactions.ics.unisg.ch/foodcoach#Basket-405419783934996841"",""https://interactions.ics.unisg.ch/foodcoach#Basket-286833628063494505"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6238438630594154135"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6742439079841074839"",""https://interactions.ics.unisg.ch/foodcoach#Basket-2120223607582650729""]","[7616800817088,7623186209130,7613312261668,7613269188698,7610095123503,7610095231604,42280897,7613312295731,7613312396520,7617400035964,7613269192633,7617027807074,7613312211564,7616500130029,7610200284426,7613312375563,7613269524397,7613269525721,7616500917590,7616500178618,7616500663411,7613312341209,7613269894315,7613312381939,7613312358733,7616500671508,7616500652897,7622210496225,7613312452837,7613312370377]",[],,34,2024-11-12 13:58:55,2024-11-12 14:12:42,29,Weiblich,1,4.0,5,2,2,5,5,5,3,5,5,3,4,4,4,5,4,5,3,4,2,2,,,2,4,4,3,4,4,4,21-40%,5,4,5,4,4,5,"Energiebedarf einer Person, Aussertorts-Essen (Take away)",4,2,3,90,"Ja, u. U., dass sie kompakter wird, für viele ERB's wäre eine solche App viel zu aufwendig (für ERB's im Alltag ein enorm grosser Datensatz, welche hier dargestellt wird und nicht so auf die schnelle einen Überblick gibt).","kompaktere Übersicht (z.B. Nutriscore ist meist im klinischen Alltag für ERB weniger von Interesse, Nährstoffe reichen aus), es braucht zudem unbedingt eine Energiebedarfsformel, damit die En% von Makronährstoffen in Relation stehen (Energiebedarfsformel könnte daher gut in die App integriert werden in den Profil-Stammdaten)","Allgemeine Datenschutz-technische Bedenken, weiters: Tracking von Kaufverhalten von Patient*innen kann auch Druck bei Pat. auslösen (wenn Pat. weiss, das ERB diese Daten direkt einsehen kann)"
Follow-up Session,FH Bern,114,1,True,IDEAL,2,178,,,0,1.0,FREITEXT,,,,Bitte konsumieren Sie mehr Früchte und Gemüse als Snackalternativen anstelle von verarbeiteten Snacks,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]",[],[],,35,2024-11-12 14:06:26,2024-11-12 14:23:18,27,Weiblich,1,4.0,6,3,4,6,5,4,4,6,5,5,5,5,5,6,5,7,3,2,4,3,3.0,3.0,5,3,2,3,4,4,3,21-40%,5,5,5,5,5,5,"Food waste Daten, die Möglichkeit einzelne Zutaten in die Auswertung zu integrieren, es wäre nützlich direkt zu wissen ob es ein ""spezieller"" Einkauf war",4,3,3,8,Eher um einen groben Überblich in die Einkaufsgewohnheiten der Patienten zu erhalten ,"Es sind noch sehr viele Fragen, welche ich den Patienten stellen müsste, daher würde sich meine Arbeit möglicherweise nicht verschnellern. Daher würde ich Überprüfungsmöglichkeiten integrieren, das sdie Pazienten z.B im Voraus angeben müssten, ob es spezielle Einküfe waren, für welchen Zeitraum sie eingekauft haben, wie viel sie von dem Einkauf verzehrt haben usw. Auch möglicherweise einzelne Zutaten integrieren und falls möglich berechnungen über Food Waste","Ich war am Anfang nicht sehr sicher in der Nutzung (wie was finden und bewerten). Glaube aber, das mann das schnell gut im Griff haben kann. Leider kann ich gewisse Fragen nicht konkret beantworten, da ich urzeit keine Patienten berate. "
